نام محصول,دسته بندی,رنگ,سایز,قیمت (تومان),جنس,برند,موجودی,مناسب فصل
تی شرت مردانه,تی شرت,آبی,مدیوم,250000,نخ,نایک,50,بهار و تابستان
تی شرت مردانه,تی شرت,مشکی,لارج,280000,نخ و پلی استر,آدیداس,40,بهار و تابستان
تی شرت مردانه,تی شرت,سفید,اسمال,230000,نخ,پوما,60,بهار و تابستان
تی شرت مردانه,تی شرت,خاکستری,اکسترا لارج,270000,نخ,ریباک,45,بهار و تابستان
شلوار جین زنانه,شلوار,مشکی,لارج,450000,جین,زارا,30,تمام فصول
شلوار جین زنانه,شلوار,آبی تیره,مدیوم,420000,جین,لیوایز,35,تمام فصول
شلوار جین زنانه,شلوار,خاکستری,اسمال,400000,جین,مانگو,25,تمام فصول
شلوار جین زنانه,شلوار,آبی روشن,اکسترا لارج,470000,جین,اچ اند ام,20,تمام فصول
کت مردانه,کت,خاکستری,لارج,1200000,پشم,هوگو باس,15,پاییز و زمستان
کت مردانه,کت,سرمه ای,مدیوم,1150000,پشم و پلی استر,زارا,20,پاییز و زمستان
کت مردانه,کت,مشکی,اکسترا لارج,1250000,پشم,مانگو,10,پاییز و زمستان
کت مردانه,کت,قهوه ای,اسمال,1100000,پشم,نایک,12,پاییز و زمستان
پیراهن زنانه,پیراهن,قرمز,اسمال,350000,ابریشم,مانگو,25,بهار و تابستان
پیراهن زنانه,پیراهن,سفید,مدیوم,320000,نخ,زارا,30,بهار و تابستان
پیراهن زنانه,پیراهن,آبی,لارج,360000,ابریشم,فوراور 21,20,بهار و تابستان
پیراهن زنانه,پیراهن,سبز,اکسترا اسمال,340000,نخ,اچ اند ام,28,بهار و تابستان
هودی unisex,هودی,سبز زیتونی,مدیوم,400000,نخ و پلی استر,آدیداس,40,پاییز و زمستان
هودی unisex,هودی,مشکی,لارج,420000,نخ,پوما,35,پاییز و زمستان
هودی unisex,هودی,خاکستری,اسمال,380000,پلی استر,نایک,45,پاییز و زمستان
هودی unisex,هودی,قرمز,اکسترا لارج,430000,نخ و پلی استر,ریباک,30,پاییز و زمستان
شال زنانه,شال,بنفش,یک سایز,150000,ویسکوز,محلی,60,تمام فصول
شال زنانه,شال,کرم,یک سایز,140000,نخ,محلی,65,تمام فصول
شال زنانه,شال,قرمز,یک سایز,160000,ابریشم,محلی,55,تمام فصول
شال زنانه,شال,آبی,یک سایز,145000,ویسکوز,محلی,70,تمام فصول
کفش ورزشی مردانه,کفش,سفید,42,800000,چرم مصنوعی,ریباک,20,تمام فصول
کفش ورزشی مردانه,کفش,مشکی,41,820000,مش,نایک,18,تمام فصول
کفش ورزشی مردانه,کفش,آبی,43,780000,چرم مصنوعی,آدیداس,22,تمام فصول
کفش ورزشی مردانه,کفش,خاکستری,40,790000,مش,پوما,25,تمام فصول
دامن زنانه,دامن,کرم,مدیوم,300000,نخ,اچ اند ام,35,بهار و تابستان
دامن زنانه,دامن,مشکی,اسمال,280000,نخ,زارا,40,بهار و تابستان
